ID,ID in paper,CAS,SMILES,Hydrogen evolution rate / µmol/h,EA* / V,EA / V,Sr / a.u.,Δσ / Å,H(CT) / Å,D(Δ) / a.u.,E(exciton binding) / eV,E(solvation) / eV,E(binding) / eV,S1-S0 / eV,S1-T1 / eV,pos_0,pos_1,group,fps_cluster,fps_pos0,fps_pos1,b3lypsoap_pos0,b3lypsoap_pos1,b3lyp_cluster,dft_pos0,dft_pos1,dft_cluster,num_rotatable_bounds,b3lypsoapval_pos0,b3lypsoapval_pos1
716,496,85553-53-3,O=Cc1cccc(-c2ccccn2)c1,2.432754201,1.267958643,-2.542541357,0.48809,0.649,1.201,2.3479,0.767180971,-0.22563893,-0.471991272,3.8105,0.562128151,5.069243,0.9559103,3,1,3.5285783,8.974762,4.2277327,7.182704,2,8.839574,8.405489,2,,4.017018,5.5367165
717,497,858448-84-7,Cc1[nH]c(C=O)cc1C#N,0,1.223520788,-2.811879212,0.47316,0.653,1.255,2.2824,0.858065849,-0.361196946,-0.499867934,4.0354,0.818250458,4.3897104,-1.0597237,3,2,8.706431,10.577578,4.57595,6.97614,3,8.435472,8.076554,2,,4.3694005,5.678339
718,498,859064-02-1,N#Cc1cncc(Br)n1,0.087350341,2.086541547,-1.871458453,0.55093,0.024,1.418,1.2605,1.109678768,-0.228233418,-0.230896841,3.958,0.548891922,1.9471138,0.033034,4,3,7.48668,10.684822,0.16755527,8.32428,4,2.6864176,3.1416821,5,,-0.75299984,6.818396
719,499,859855-53-1,N#Cc1ccc(F)c(N)c1,0,1.013818533,-3.199981467,0.70203,0.158,1.576,2.9543,0.593760455,-0.296076196,-0.253552103,4.2138,1.219438463,4.383777,-0.69648665,3,3,7.3380527,11.978787,6.291313,5.5969024,4,6.7555704,5.317757,2,,5.4239483,4.10652
720,500,862705-46-2,CC(Oc1ccc(Br)cc1Br)C(=O)NN,0,1.006558752,-3.684441248,0.72887,-0.032,1.633,0.9468,0.673117854,-0.381613992,-0.704825197,4.691,0.406542536,1.987785,4.0963683,4,2,9.730159,10.124635,0.61798173,9.803936,3,2.835156,7.2794523,4,,-1.2944574,8.183726
721,501,863992-56-7,CC1(C)OB(c2c3ccccc3c(B3OC(C)(C)C(C)(C)O3)c3ccccc23)OC1(C)C,0,0.558263032,-2.424436968,0.87775,-0.144,1.564,0.0018,0.241102712,-0.349974325,-0.783080136,2.9827,1.28725422,8.433535,-0.4895606,2,4,3.3413801,3.380723,10.692554,7.3362494,5,-2.777718,6.0763097,1,,9.212156,9.594871
722,502,86-73-7,c1ccc2c(c1)Cc1ccccc1-2,0,1.034315131,-3.481484869,0.79954,0.136,1.006,0.3619,0.3483577,-0.121399759,-0.420505048,4.5158,1.376497951,6.6965637,2.2819068,1,4,4.1594357,7.573636,6.848046,9.151912,5,0.6490121,7.4087677,4,,5.5164895,8.572749
723,503,86-74-8,c1ccc2c(c1)[nH]c1ccccc12,0,0.543492933,-3.527407067,0.77946,0.24,1.272,0.7654,0.49537364,-0.20851962,-0.455832372,4.0709,0.741616879,5.5163035,0.30856988,3,4,3.128786,7.6259484,6.1468835,7.1780806,5,2.5054438,8.138972,4,,4.7469234,5.0111656
724,504,87199-17-5,O=Cc1ccc(B(O)O)cc1,0.040099698,1.328417531,-2.383782469,0.48239,0.815,1.454,2.7015,1.586358077,-0.382476971,-0.483802661,3.7122,0.493073083,3.9024343,6.032279,5,5,4.922872,11.503635,3.521918,12.487348,1,10.080817,7.8209047,2,,5.9042654,13.212151
725,505,87220-68-6,O=Cc1ccc2c(c1)c1ccccc1n2-c1ccccc1,2.506820259,0.877362544,-2.855437456,0.61741,-0.221,2.079,6.135,0.339529796,-0.268242682,-0.653680942,3.7328,0.635267255,7.740892,2.2764459,2,4,2.795427,4.594149,6.6905713,8.143971,5,9.039621,2.1730292,3,,6.131272,7.331775
